,Date,Media Sources,Negative,Neutral,Positive,Source Account,Tweet Polarity,Tweets Ago
56,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,57
57,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,58
58,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,59
59,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,60
60,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,61
61,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,62
62,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,63
63,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,64
64,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,65
65,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,66
66,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,67
67,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,68
68,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,69
69,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,70
70,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,71
71,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,72
72,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,73
73,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,74
74,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,75
75,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,76
76,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,77
77,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,78
78,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,79
79,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,80
80,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,81
81,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,82
82,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,83
83,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,84
84,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,85
85,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,86
86,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,87
87,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,88
88,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,89
89,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,90
90,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,91
91,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,92
92,Tue Jan 09 09:22:02 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,93
93,Sun Jan 07 13:04:22 +0000 2018,@OPECnews,0.0,1.0,0.0,OPEC News,0.0,94
94,Fri Jan 05 06:41:47 +0000 2018,@OPECnews,0.0,0.863,0.137,The Economist,0.4019,95
95,Fri Jan 05 06:38:54 +0000 2018,@OPECnews,0.0,0.901,0.099,OPEC News,0.3182,96
96,Fri Jan 05 06:37:57 +0000 2018,@OPECnews,0.0,0.811,0.189,OPEC News,0.5994,97
97,Fri Jan 05 06:36:46 +0000 2018,@OPECnews,0.0,0.948,0.052,OPEC News,0.0382,98
98,Thu Jan 04 06:57:14 +0000 2018,@OPECnews,0.0,0.842,0.158,Gulf Intelligence,0.4939,99
99,Wed Jan 10 22:00:01 +0000 2018,@OPECnews,0.0,1.0,0.0,GasBuddy,0.0,100
100,Tue Jan 09 10:39:31 +0000 2018,@OPECnews,0.0,1.0,0.0,Modinama,0.0,101
